REG_DATE,ERR_DESCR,WORK_DESCR_LO,PERFORMED_ACTION_LO,RIG,AGE_OF_RIG,PERFORMED_ACTION_ID,PERFORMED_ACTION,ERR_TYPE,ERROR_TYPE,MCH_CODE,MCH_CODE_DESCRIPTION,SFI,Count_of_breakdown
13-Jul-15,Assistance to Fanø crane service.,na,Assist Fanø crane service.,J105,5361,12,Other,6.2,Other,11002484,CRANE NO.2; FWD;STBD,361,42
07-Jun-15,replace cables and plugs for test equip in mudlab,replace cables and plugs for test equip in mudlab,cables damaged,J105,5361,1,Replace,4.3,No power/voltage,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
08-Jun-15,Modifi bit braker,Modifi bit braker to fit new bit from Conoco,Modifi bit breaker to fit new bit from Conoco,J105,5361,1,Replace,1,General,10001235,"BIT SUB; 7 5/8"" REG BOX X BOX",353,1
10-Nov-15,Assist Archer with electrical connections etc.,Hook up test repair,Assist 3rd party,J105,5361,7,Service,6,General,12010588,OFFICE CONTAINER,180,1
09-Jan-16,Hook up MWD container,Hook up MWD container,Hook up MWD container,J105,5361,12,Other,6,General,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
09-Feb-16,hook up third party units,hook up third party units,Hook up of schlumberger workshop container,J105,5361,1,Replace,1,General,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
10-Nov-15,Assist Archer with electrical connections etc.,Hook up test repair,Assist 3rd party,J105,5361,7,Service,6,General,12010590,WINCH,180,1
26-Dec-15,HOOK UP THIRD PARTY EQUIPMENT,HOOK UP ARCHER AND WELTEC UNITS,Disconnection of wireline unit,J105,5361,12,Other,6.2,Other,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
20-Jul-16,Faultfind AC unit MWD,Faultfind. During faultfind we blew a fuse on 24V supply. After replacing this unit came back online.,Faultfind. During faultfind we blew a fuse on 24V supply. After replacing this unit came back online.,J105,5361,6,Check,3.3,Faulty signal/indication/alarm,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
05-Feb-16,hook up third party uinits,hook up third party uinits,.,J105,5361,1,Replace,1,General,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
08-Feb-16,hook up third party uinits,hook up third party uinits,Hook up of Baker workshop container,J105,5361,1,Replace,6.2,Other,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
06-Sep-15,Support to Eldfisk A/Schlumberger coiltubing hyd hose repai,"Went to Eldfisk A identifyed hose and connections told Sclumberger to order parts for crimping new connections.
Supported part numbers for items to order.
Hose rigged down by Schlumb and transported to Innovator.
Crimp fittings and ferrules arrived Innovator by crew change helicopter same afternoon.
New connections crimped to hose the same afternoon with Innovator equipment backloaded to boat around 1800 hrs.",Assisted Copno/Schlumberger with check of hose in situ adviced witch parts to order and crimping of new connections for coiltubing unit hydraulic hose.,J105,5361,5,Refit,2.5,Breakage,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
22-Mar-16,Troubleshoot downstream sensor Sperry,Faultfind and remedy sensor,"Troubleshooting. Found 2 pairs crossed over. 
Potential was wrong on DC circuit output were wrong on feedback circuit.
Fixed and tested.",J105,5361,7,Service,4.2,Open circuit,12010582,THIRD PARTY EQUIPMENT - GROUP,180,43
26-Aug-15,Repair after break down on ME2,"Postponed. Work to start 06.09.2015.   OBJ
Postponed work order done order need to be finished up. SBE137 23.09.2015",Re-connect and faultfindings due to engine and generator problems,J105,5361,9,Inspection,3.1,Control failure,11003306,ENGINE NO.2; MAIN;DIESEL,651,26
09-Sep-15,Service hours ME2  Man B&W assembly,Overhaul ME2,"Overhaul ME2
Service engineers.",J105,5361,1,Replace,2.6,Fatigue,11004673,GENERATOR NO.2; MAIN;DIESEL ENGINE NO.2,651,4
21-Aug-15,Replacing  PSV's on cementing unit ref PR 10200009988,PR 10200009988,Change PSVs,J106,5117,12,Other,6,General,10612324,CEMENTING UNIT,371,1
